word,preference,occurrences,song_count,songs
toughens,298.36729685569355,2,2,Abandon All Hope; All In All
helots,298.36729685569355,2,2,The Tugboat Complex; Merit
pedagogue,298.36729685569355,4,4,Commencement (at the Obedience Academy); Shovel; Nickel Plated Pockets; Bracket Basher
haterade,297.8000586487436,1,1,We’re Famous
misanthropes,297.8000586487436,1,1,Puff Tuff
amalgamates,297.8000586487436,1,1,Abandon All Hope
sickroom,297.8000586487436,1,1,Crystal Sword
crossly,297.8000586487436,1,1,BMX
jellystone,297.8000586487436,1,1,Dokken Rules
drunky,297.8000586487436,1,1,Abandon All Hope
inhalants,291.69987122763337,2,2,Sick Friend; Blue in the Face
damita,291.157678158437,1,1,One Of Four
schnoz,291.157678158437,1,1,"Food, Clothes, Medicine"
dunlops,291.157678158437,1,1,BMX
vespertine,291.157678158437,1,1,Rabies
snaggle-tooth,291.157678158437,1,1,The Next Best Thing
mockeries,291.157678158437,1,1,Odessa
dayquil,291.157678158437,1,1,Saturn Missiles
dischord,284.8051469986166,1,1,TUFF
claymores,284.8051469986166,4,3,Grace; Gun for the Whole Family; For The Whole Family
cryptograms,284.8051469986166,1,1,The Gates
oxys,284.8051469986166,1,1,Salt and Pepper Squid
kewpie,284.8051469986166,2,2,Fascination; Sink or Swim
whistlers,278.72389830825466,2,2,Citronella; Saturn Missiles
abates,278.72389830825466,2,2,One of Four (Thank You); One Of Four
murked,277.7355156901403,1,1,Super fluke
unfroze,277.7355156901403,1,1,The Active Element
heliconia,277.7355156901403,1,1,Pizza Alley
rugrat,277.7355156901403,1,1,The Active Element
motherships,277.7355156901403,1,1,No Jumper Cables
bettas,277.7355156901403,1,1,TUFF
raincheck,277.7355156901403,1,1,The Gates
freefalling,277.7355156901403,1,1,Attaboy
tugboat,277.2439484057329,12,12,Get Out of the Car; Big Bang; Bring Back Pluto; Battery; One Brick; The Yes and the Y’all; We’re Famous; Oxygen; The Tugboat Complex; How to Be a Carpenter; Bad Karma; Maintenance
plu-plu-pluto,273.85110288328514,2,1,Bring Back Pluto
atlatl,271.94935911326235,1,1,Solid Gold
breadbox,271.94935911326235,1,1,9-5'ers Anthem
windshear,271.94935911326235,1,1,Dead Pan
bonemeal,271.94935911326235,1,1,The Gates
bourgie,271.94935911326235,1,1,"Food, Clothes, Medicine"
skivvy,271.94935911326235,1,1,ZZZ Top
remanence,271.94935911326235,1,1,Hall of Game
braggadocio,269.76377298950473,3,3,Dorks; Freeze/Honeycomb Interlude; Freeze
catacomb,267.76552281921215,4,2,Catacomb Kids; All Day: Nike+ Original Run
sippin,267.76552281921215,4,4,Abandon All Hope; 11:35; 11:35 (feat. Mr. Lif) / Ketamine U.S.A. Interlude; Horizontal Demo (Instagram 2017)
circumspection,265.947081238097,2,1,Off the top
p-noid,265.947081238097,2,2,Citronella; Kyanite Toothpick
rawkus,265.4963234732866,1,1,We’re Famous
punchdrunk,265.4963234732866,1,1,We’re Famous
bretheren,265.4963234732866,1,1,Winners Take All
psychotropics,265.4963234732866,1,1,Getaway Car
carnie,263.7084694431635,3,3,Freeze/Honeycomb Interlude; Super fluke; Freeze
buffed,262.0419103425933,9,2,Bracket Basher; Train Buffer
levitate,260.2826494473762,11,3,Coveralls; Dark Heart News; Zodiaccupuncture
floatin,259.7725221380416,2,2,The Tugboat Complex; How to Be a Carpenter
breezer,259.34243518085947,1,1,Facemelter
chickies,259.34243518085947,1,1,Kill the Messenger
chordata,259.34243518085947,1,1,Antisocial
troglodyte,257.63623494940646,3,3,The Gates; Mars Attacks; Thorns
bipeds,253.87816993393696,2,2,"The Tugboat Complex Pt. 3; The Tugboat Complex, Part 3"
shadowboxing,253.46736383372027,1,1,The Yes and the Y’all
potstickers,253.46736383372027,1,1,Hot Dogs
epmd,253.46736383372027,1,1,Hot Dogs
kullen,253.46736383372027,1,1,Catacomb Kids
bizzaro,253.46736383372027,1,1,Mindful Solutionism
pachyderm,248.24537377058496,2,2,Living Curfew; Super fluke
numbskull,248.24537377058496,2,2,Battery; Nickel Plated Pockets
capit,247.85258045765684,1,1,Easy
chuggers,247.85258045765684,1,1,Super fluke
alcor,247.85258045765684,1,1,Mars Attacks
rickety,245.2653927702074,15,4,Rings; Fumes; Oxygen; Rickety Rackety
yeller,242.8571020918436,4,4,Klutz; Oxygen; Try Not to Die; Sniff Glue
unmoored,242.48116230532372,2,1,Leisureforce
galoshes,242.48116230532372,2,2,Freeze/Honeycomb Interlude; Freeze
anchorwoman,242.48116230532372,2,2,11:35; 11:35 (feat. Mr. Lif) / Ketamine U.S.A. Interlude
nutriment,241.7327636562332,1,1,Kyanite Toothpick
zoomers,241.7327636562332,1,1,Abandon All Hope
colecovision,241.7327636562332,1,1,Train Buffer
sures,241.7327636562332,1,1,Jinx Planet
thataway,241.7327636562332,1,1,Solid Gold
sermonizing,241.7327636562332,1,1,Gopher Guts
deep-sixed,241.7327636562332,1,1,The Gates
syosset,236.9785640684404,2,2,One of Four (Thank You); One Of Four
firewater,236.9785640684404,2,2,Skip Town; Number Nine
splendors,236.9785640684404,2,2,Dryspell; Sink or Swim
mantelpieces,236.62059040670562,1,1,One Brick
pirogue,236.62059040670562,1,1,Pizza Alley
plinko,236.62059040670562,1,1,Syrup
teleprompters,236.62059040670562,1,1,Citronella
crimewave,236.62059040670562,1,1,Supercell
moodily,236.62059040670562,1,1,Antisocial
sonograms,236.62059040670562,1,1,Babies with Guns
whiffing,236.62059040670562,1,1,"1,000 Deaths"
divvy,235.90787778499862,5,5,Daylight; Float; Bug Zapper; Number Nine; Sick Friend
bumpin,234.96424627385866,3,3,Racing Stripes; Nickel Plated Pockets; Bracket Basher
icicle,232.92614252674963,8,7,Commencement (at the Obedience Academy); Float; Oxygen; No Jumper Cables; The Tugboat Complex; Odessa; Jinx Planet
collabo,231.03662367144412,1,1,Super fluke
deadest,231.03662367144412,1,1,Crows 1
moonset,231.03662367144412,1,1,TUFF
rised,231.03662367144412,1,1,39 Thieves
dayglo,231.03662367144412,1,1,6B Panorama
sleepwalked,231.03662367144412,1,1,Flashflood
praya,231.03662367144412,1,1,By The River
homefield,231.03662367144412,1,1,Alchemy
jabberwocky,230.3571041900575,3,3,Save Yourself; The Yes and the Y’all; Antisocial
sucka,227.01859543367988,4,2,Night Light; Fast Cars
curs,226.36247232549005,2,2,Oxygen; Maintenance
neckbeard,225.7101309066846,1,1,Bug Zapper
stickball,225.7101309066846,1,1,Coma
hazels,225.7101309066846,1,1,Sink or Swim
bedazzling,225.7101309066846,1,1,Solid Gold
mellotron,225.7101309066846,1,1,Zero Dark Thirty
stigmatic,225.7101309066846,1,1,Wise Up
hazes,225.7101309066846,1,1,Wake Up Call
cutthroats,221.24693622773887,2,2,The Harbor Is Yours; Drawbridge
orchidaceae,220.62370542146354,1,1,Bermuda
teether,220.62370542146354,1,1,Facemelter
oser,220.62370542146354,1,1,ZZZ Top
pigeonholes,220.62370542146354,1,1,Puff Tuff
ganked,220.62370542146354,1,1,Five Fingers
pugilism,220.62370542146354,1,1,Sleeper Car
outstayed,220.62370542146354,1,1,Keep Off the Lawn
spittle,220.00397591185265,5,4,"1,000 O’ Clock; Basic Cable; Merit; Off the top"
jackrabbit,220.00397591185265,5,2,Alchemy; Bracket Basher
appleseed,220.00397591185265,5,4,Bazooka Tooth; How to Be a Carpenter; Attention Span; Appleseed Intro
lolli-popper,219.38771827624524,2,2,Freeze/Honeycomb Interlude; Freeze
pigpen,216.3575011729822,2,2,Train Buffer; Hall of Game
riiiiight,215.76147499895194,1,1,Facemelter
goofus,215.76147499895194,1,1,Super fluke
rubbernecking,215.76147499895194,1,1,Jazz Hands
drippin,215.76147499895194,1,1,Plastic Soldiers
drawin,215.76147499895194,1,1,Plastic Soldiers
cauterize,213.6038602489624,3,3,Big Bang; Antisocial; Same Space (The Tugboat Complex pt. 2)
saccharin,213.6038602489624,3,3,"Food, Clothes, Medicine; The Mayor and the Crook; The Next Best Thing"
uprooting,212.39705877862932,8,1,Shovel
